a.1.1.	[1, 27, 9, 128, 49]
f.51.1.	[2]
f.52.1.	[1]
f.53.1.	[1]
f.54.1.	[1]
f.55.1.	[2]
f.56.1.	[1, 3]
f.57.1.	[1]
f.58.1.	[5]
f.59.1.	[1]
f.6.1.	[6, 5, 1]
f.60.1.	[1]
f.7.1.	[3]
f.8.1.	[1, 1, 1]
f.9.1.	[3, 2]
g.1.1.	[22]
g.10.1.	[3, 1, 1]
g.11.1.	[1]
g.12.1.	[18, 1]
g.13.1.	[12]
g.14.1.	[21, 1, 12]
g.16.1.	[4]
g.16.2.	[4]
g.16.3.	[1]
g.17.1.	[11, 8, 10, 5, 1, 1, 3, 1]
g.18.1.	[41, 5]
g.19.1.	[4, 3, 1]
g.2.1.	[1]
g.2.2.	[1]
g.2.3.	[1]
g.2.4.	[1]
g.20.1.	[1, 15]
g.21.1.	[2, 2]
g.22.1.	[1, 4]
g.23.1.	[3]
g.24.1.	[3, 18, 9]
g.25.1.	[1]
g.26.1.	[1]
g.27.1.	[1, 7]
g.28.1.	[1, 4]
g.29.1.	[1]
g.3.1.	[3, 16, 1]
g.3.10.	[5, 2]
g.3.11.	[8, 57, 3, 2, 11, 2, 3, 1]
g.3.12.	[2]
g.3.13.	[3, 13]
g.3.14.	[3, 1]
g.3.15.	[1, 4, 6]
g.3.16.	[3]
g.3.17.	[1]
g.3.18.	[1]
g.3.19.	[1]
g.3.2.	[15]
g.3.3.	[3, 4, 11, 1]
g.3.4.	[1, 2]
g.3.5.	[2]
g.3.6.	[2, 32, 13, 1, 2]
g.3.7.	[12, 15, 45, 1, 32]
g.3.8.	[1]
g.3.9.	[6, 15]
g.30.1.	[2]
g.31.1.	[1, 1]
g.32.1.	[10, 2]
g.33.1.	[1]
g.34.1.	[1]
g.35.1.	[9]
g.36.1.	[1]
g.37.1.	[5, 1, 1, 1, 8, 173, 5, 1]
g.38.1.	[8]
g.39.1.	[1, 3, 1, 1, 3, 1, 1, 1, 1, 9, 1, 23, 72, 14, 6, 1, 2, 1, 2]
g.4.1.	[7]
g.40.1.	[11]
g.41.1.	[3]
g.41.10.	[2]
g.41.11.	[11]
g.41.13.	[1]
g.41.14.	[1]
g.41.15.	[1]
g.41.16.	[5]
g.41.17.	[3]
g.41.18.	[1]
g.41.2.	[2, 8]
g.41.3.	[7, 2, 2, 1, 1]
g.41.4.	[2]
g.41.5.	[1, 3, 20, 1]
g.41.6.	[1]
g.41.7.	[4, 1]
g.41.8.	[1, 3, 1, 1, 3, 1, 1, 3]
g.41.9.	[2, 1, 1]
g.42.1.	[3]
g.43.1.	[10, 1]
g.44.1.	[3, 1, 4, 6, 2, 5, 17]
g.45.1.	[1, 1, 1]
g.46.1.	[21]
g.47.1.	[1]
g.48.1.	[1]
g.49.1.	[1, 1, 9, 4]
g.5.1.	[1, 1]
g.50.1.	[6, 17, 1, 22]
g.51.1.	[2]
g.52.1.	[19, 1]
g.53.1.	[4]
g.54.1.	[2]
g.55.1.	[1]
g.58.1.	[1]
g.59.1.	[1, 2]
g.6.1.	[1]
g.60.1.	[2]
g.61.1.	[3]
g.62.1.	[1]
g.63.1.	[1]
g.64.1.	[2]
g.65.1.	[1]
g.66.1.	[6]
g.67.1.	[2]
g.68.1.	[2, 19, 2]
g.69.1.	[10]
g.7.1.	[4, 38, 1, 17]
g.70.1.	[1]
g.71.1.	[1]
g.72.1.	[3]
g.73.1.	[1]
g.74.1.	[5]
g.75.1.	[1]
g.76.1.	[2]
g.77.1.	[2]
g.78.1.	[1]
g.79.1.	[1, 2]
g.8.1.	[2, 3, 29, 17]
g.80.1.	[6]
g.81.1.	[3]
g.82.1.	[1]
g.83.1.	[2, 2]
g.84.1.	[1]
g.85.1.	[1, 6]
g.86.1.	[1]
g.87.1.	[1]
g.88.1.	[1]
g.88.2.	[3]
g.89.1.	[2]
g.9.1.	[1, 2, 29]
g.90.1.	[3]
g.91.1.	[2]
g.92.1.	[1]
g.93.1.	[1, 1]
g.94.1.	[2]
g.95.1.	[5]
